Run ID,Week cutoff,Feature table,Model,Class taught baseline,Self-learnt method,Preprocessing,Evaluation method,Seed,Threshold,Number of rows,Number of features,Feature columns used,Accuracy,Precision,Recall,Specificity,F1,AUC,Log loss,TN,FP,FN,TP
W2_B1_LogisticRegression,2,week2_features.csv,B1_LogisticRegression,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.6925908881730327,0.6981898780938308,0.6142346441338966,0.762638001162115,0.6535269709543569,0.7596587830801035,0.587224085896555,2625,817,1187,1890
W2_B2_L1_Regularised_LogisticRegression,2,week2_features.csv,B2_L1_Regularised_LogisticRegression,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.6921306948918545,0.6977087952697709,0.6135846603834905,0.7623474723997675,0.6529482967318001,0.7597687817827796,0.5871963990552301,2624,818,1189,1888
W2_B3_SGD_Logistic,2,week2_features.csv,B3_SGD_Logistic,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.6869151710385029,0.6831683168316832,0.6278843028924277,0.7396862289366647,0.6543607112616426,0.7510197776723218,0.5943252656816118,2546,896,1145,1932
W2_B4_KNN,2,week2_features.csv,B4_KNN,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.6787850897376898,0.6661034133153092,0.6405589860253493,0.7129575828006973,0.6530815109343936,0.7443615042686107,0.6823496611822842,2454,988,1106,1971
W2_B5_GaussianNB,2,week2_features.csv,B5_GaussianNB,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.6255560668814235,0.7314410480349345,0.32661683457913554,0.8927948866937827,0.4515839137272523,0.7092801326102814,2.514677681458064,3073,369,2072,1005
W2_B6_Bagging_LogisticRegression,2,week2_features.csv,B6_Bagging_LogisticRegression,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week2, active_days_week2, oucontent_clicks_week2, quiz_clicks_week2, resource_clicks_week2, homepage_clicks_week2, subpage_clicks_week2, glossary_clicks_week2, oucollaborate_clicks_week2, forumng_clicks_week2",0.69243749041264,0.6973490427098674,0.6155346116347091,0.7611853573503777,0.6538926290350423,0.759289886143317,0.5874400043901233,2620,822,1183,1894
W4_B1_LogisticRegression,4,week4_features.csv,B1_LogisticRegression,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week4, active_days_week4, oucontent_clicks_week4, quiz_clicks_week4, resource_clicks_week4, homepage_clicks_week4, subpage_clicks_week4, glossary_clicks_week4, oucollaborate_clicks_week4, forumng_clicks_week4",0.7024083448381654,0.7032534858777262,0.6392590185245369,0.7588611272515979,0.6697310180456247,0.779353555091977,0.5684132311399477,2612,830,1110,1967
W4_B2_L1_Regularised_LogisticRegression,4,week4_features.csv,B2_L1_Regularised_LogisticRegression,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week4, active_days_week4, oucontent_clicks_week4, quiz_clicks_week4, resource_clicks_week4, homepage_clicks_week4, subpage_clicks_week4, glossary_clicks_week4, oucollaborate_clicks_week4, forumng_clicks_week4",0.7022549470777727,0.7027123483226267,0.6399090022749431,0.7579895409645555,0.669841809831604,0.7794454252530961,0.5683717525755551,2609,833,1108,1969
W4_B3_SGD_Logistic,4,week4_features.csv,B3_SGD_Logistic,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week4, active_days_week4, oucontent_clicks_week4, quiz_clicks_week4, resource_clicks_week4, homepage_clicks_week4, subpage_clicks_week4, glossary_clicks_week4, oucollaborate_clicks_week4, forumng_clicks_week4",0.6964258321828501,0.6949573863636364,0.6360090997725056,0.7504357931435212,0.6641778381130155,0.7723507449791966,0.5731932902075281,2583,859,1120,1957
W4_B4_KNN,4,week4_features.csv,B4_KNN,Yes,No,SimpleImputer + OneHotEncoder + StandardScaler,80/20 stratified split,42,0.5,32593,18,"gender, region, highest_education, imd_band, age_band, disability, num_of_prev_attempts, studied_credits, total_clicks_week4, active_days_week4, oucontent_clicks_week4, quiz_clicks_week4, resource_clicks_week4, homepage_clicks_week4, subpage_clicks_week4, glossary_clicks_week4, oucollaborate_clicks_week4, forumng_clicks_week4",0.6889093419236079,0.6700162074554294,0.6717582060448489,0.7042417199302731,0.6708860759493671,0.7564032935783229,0.6476444276293051,2424,1018,1010,2067
