id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,total_clicks_week8,active_days_week8,oucontent_clicks_week8,quiz_clicks_week8,resource_clicks_week8,homepage_clicks_week8,subpage_clicks_week8,glossary_clicks_week8,oucollaborate_clicks_week8,forumng_clicks_week8,label
11391,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,240,529.0,18.0,331.0,0.0,9.0,67.0,23.0,0.0,0.0,98.0,1
28400,AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,N,0,60,669.0,26.0,192.0,0.0,5.0,151.0,61.0,0.0,0.0,228.0,1
30268,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,60,281.0,12.0,66.0,0.0,4.0,59.0,22.0,0.0,0.0,126.0,0
31604,AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,N,0,60,804.0,40.0,297.0,0.0,10.0,169.0,75.0,1.0,0.0,216.0,1
32885,AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,0,60,601.0,26.0,313.0,0.0,7.0,107.0,28.0,2.0,0.0,138.0,1
38053,AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,N,0,60,928.0,46.0,222.0,0.0,6.0,221.0,35.0,0.0,0.0,424.0,1
45462,AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,N,0,60,704.0,25.0,399.0,0.0,4.0,139.0,61.0,0.0,2.0,85.0,1
45642,AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,120,583.0,31.0,155.0,0.0,3.0,121.0,49.0,0.0,1.0,230.0,1
52130,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,90,559.0,35.0,179.0,0.0,3.0,155.0,79.0,0.0,2.0,98.0,1
53025,AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,N,0,60,769.0,32.0,180.0,0.0,4.0,86.0,37.0,0.0,0.0,444.0,1
57506,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,N,0,60,697.0,36.0,393.0,0.0,2.0,183.0,76.0,0.0,0.0,6.0,1
58873,AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,0,60,719.0,34.0,297.0,0.0,3.0,179.0,54.0,0.0,2.0,153.0,1
59185,AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,0,60,685.0,28.0,369.0,0.0,8.0,124.0,65.0,0.0,3.0,97.0,1
62155,AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,N,0,60,1038.0,37.0,527.0,0.0,3.0,140.0,19.0,0.0,1.0,343.0,1
63400,AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,N,0,60,986.0,46.0,538.0,0.0,3.0,201.0,89.0,0.0,0.0,106.0,1
65002,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,60,170.0,10.0,100.0,0.0,2.0,37.0,18.0,0.0,0.0,12.0,0
70464,AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,0,60,499.0,20.0,246.0,0.0,8.0,105.0,44.0,2.0,2.0,70.0,1
71361,AAA,2013J,M,Ireland,HE Qualification,,35-55,N,0,60,1292.0,46.0,365.0,0.0,11.0,198.0,56.0,0.0,1.0,629.0,1
74372,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,150,76.0,7.0,33.0,0.0,0.0,23.0,12.0,0.0,0.0,6.0,0
