week,week_cutoff,pipeline_id,model,model_group,feature_set,preprocessing,evaluation_method,threshold,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
week2,2,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6869,0.0042,0.6713,0.0052,0.6595,0.0039,0.6654,0.0041,0.753,0.0033
week2,2,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6908,0.004,0.6638,0.0055,0.6991,0.0028,0.681,0.0029,0.7608,0.0058
week2,2,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7009,0.0048,0.6718,0.0062,0.7167,0.0032,0.6935,0.0038,0.7731,0.005
week2,2,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6969,0.0034,0.6586,0.0044,0.7433,0.0048,0.6983,0.0027,0.7699,0.005
week2,2,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7012,0.0044,0.6718,0.0056,0.7176,0.0043,0.6939,0.0038,0.7726,0.0052
week2,2,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6904,0.0039,0.6659,0.0054,0.691,0.0049,0.6782,0.0033,0.7577,0.0065
week2,2,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6504,0.008,0.6352,0.009,0.6094,0.0082,0.622,0.0084,0.6936,0.0076
week4,4,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7023,0.0031,0.6875,0.0034,0.6771,0.0033,0.6822,0.0033,0.7725,0.0044
week4,4,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.708,0.0051,0.6792,0.0043,0.7228,0.0081,0.7003,0.006,0.7831,0.0065
week4,4,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7142,0.0055,0.6825,0.0055,0.7379,0.0071,0.7091,0.0057,0.7923,0.0052
week4,4,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7104,0.0068,0.6692,0.0074,0.7644,0.0067,0.7136,0.006,0.7881,0.0055
