week,week_cutoff,experiment,configuration,model,preprocessing,evaluation_method,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,accuracy_delta,precision_delta,recall_delta,f1_delta,auc_delta
week2,2,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6908,0.004,0.6638,0.0055,0.6991,0.0028,0.681,0.0029,0.7608,0.0058,0.0,0.0,0.0,0.0,0.0
week2,2,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6554,0.0048,0.627,0.0062,0.6666,0.0028,0.6462,0.0033,0.7191,0.0048,-0.0354,-0.0368,-0.0325,-0.0348,-0.0417
week2,2,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1233,-0.1239,-0.1332,-0.1284,-0.1729
week2,2,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6749,0.0057,0.6496,0.0067,0.676,0.0042,0.6625,0.005,0.7409,0.0055,-0.0159,-0.0142,-0.0231,-0.0185,-0.0199
week2,2,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6892,0.0049,0.6611,0.0061,0.7007,0.0063,0.6803,0.0044,0.7575,0.0056,-0.0016,-0.0027,0.0016,-0.0007,-0.0033
week2,2,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6875,0.0042,0.6597,0.0053,0.698,0.0032,0.6783,0.0035,0.7575,0.0048,-0.0033,-0.0041,-0.0011,-0.0027,-0.0033
week2,2,feature_drop,drop region,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6902,0.0046,0.6629,0.0049,0.6994,0.0066,0.6806,0.0049,0.7602,0.0056,-0.0006,-0.0009,0.0003,-0.0004,-0.0006
week2,2,feature_drop,drop highest_education,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6816,0.0044,0.6538,0.0061,0.6921,0.0034,0.6724,0.0029,0.75,0.0056,-0.0092,-0.01,-0.007,-0.0086,-0.0108
week2,2,feature_drop,drop imd_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6848,0.0064,0.6574,0.0082,0.6941,0.0032,0.6752,0.0051,0.7552,0.0064,-0.006,-0.0064,-0.005,-0.0058,-0.0056
week2,2,feature_drop,drop age_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6899,0.005,0.6628,0.0059,0.6987,0.0079,0.6802,0.0052,0.7587,0.006,-0.0009,-0.001,-0.0004,-0.0008,-0.0021
week2,2,feature_drop,drop disability,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6872,0.0043,0.6602,0.0053,0.6952,0.005,0.6772,0.004,0.7576,0.0067,-0.0036,-0.0036,-0.0039,-0.0038,-0.0032
week2,2,feature_drop,drop num_of_prev_attempts,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6877,0.0039,0.6598,0.0042,0.6987,0.0061,0.6787,0.0042,0.7573,0.0069,-0.0031,-0.004,-0.0004,-0.0023,-0.0035
week2,2,feature_drop,drop studied_credits,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6828,0.0055,0.6574,0.0067,0.6855,0.0045,0.6711,0.0049,0.7491,0.0052,-0.008,-0.0064,-0.0136,-0.0099,-0.0117
week4,4,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.708,0.0051,0.6792,0.0043,0.7228,0.0081,0.7003,0.006,0.7831,0.0065,0.0,0.0,0.0,0.0,0.0
week4,4,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6755,0.0044,0.647,0.0038,0.688,0.0099,0.6668,0.0059,0.7483,0.0053,-0.0325,-0.0322,-0.0348,-0.0335,-0.0348
week4,4,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1405,-0.1393,-0.1569,-0.1477,-0.1952
week4,4,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6862,0.0062,0.6579,0.0074,0.6985,0.0074,0.6776,0.0058,0.7583,0.0047,-0.0218,-0.0213,-0.0243,-0.0227,-0.0248
week4,4,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7014,0.0027,0.673,0.0031,0.7145,0.006,0.6931,0.0032,0.777,0.0059,-0.0066,-0.0062,-0.0083,-0.0072,-0.0061
week4,4,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7066,0.0035,0.6786,0.0034,0.719,0.0054,0.6982,0.004,0.7804,0.0052,-0.0014,-0.0006,-0.0038,-0.0021,-0.0027
